uq_ortho_gene_id	tax_id	prot_seq_id	uniprot_id	ensemble_gene_name	ncbi_gid	description
9796_0:000000	9796_0	LRRC28	F6SV55		100050003	Leucine rich repeat containing 28
9796_0:000001	9796_0	CCNB2			100054413	G2/mitotic-specific cyclin-B2
9796_0:000002	9796_0	TCERG1L			111769616	transcription elongation regulator 1-like protein
9796_0:000003	9796_0	PLAU	F7BT48		100072886	Plasminogen activator, urokinase
9796_0:000004	9796_0	LOC111772889			111772889	carbohydrate-binding protein AQN-1-like
9796_0:000005	9796_0	LOC111768782			111768782	granzyme B(G,H)-like
9796_0:000006	9796_0	SPINT1			100071304	kunitz-type protease inhibitor 1 isoform X1
9796_0:000007	9796_0	HACD3			100053192	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 isoform X2
9796_0:000008	9796_0	WDR11			100065386	WD repeat-containing protein 11
9796_0:000009	9796_0	SCAPER			100061025	S phase cyclin A-associated protein in the endoplasmic reticulum isoform X1
9796_0:00000a	9796_0	SLC30A4	F7BXJ3		100055954	Solute carrier family 30 member 4
9796_0:00000b	9796_0	DISP2			100071435	protein dispatched homolog 2
9796_0:00000c	9796_0	RASGRF1			100050202	ras-specific guanine nucleotide-releasing factor 1 isoform X1
9796_0:00000d	9796_0	NPTN			100052106	neuroplastin isoform X1
9796_0:00000e	9796_0	ADGRA1			100050642	adhesion G protein-coupled receptor A1
9796_0:00000f	9796_0	MAP2K5			100052849	dual specificity mitogen-activated protein kinase kinase 5 isoform X1
9796_0:000010	9796_0	C1H1orf198			100061368	uncharacterized protein C1orf198 homolog isoform X1
9796_0:000011	9796_0	GABRB3			100050803	gamma-aminobutyric acid receptor subunit beta-3 isoform X3
9796_0:000012	9796_0	ABHD2	F7B9L8		100053880	Abhydrolase domain containing 2
9796_0:000013	9796_0	EDRF1			100056537	erythroid differentiation-related factor 1 isoform X1
9796_0:000014	9796_0	RNASE6	F7APT4		100629897	Ribonuclease A D1
9796_0:000015	9796_0	LOC100056321			100056321	zinc finger protein 25
9796_0:000016	9796_0	SPTBN5			100071053	LOW QUALITY PROTEIN: spectrin beta chain, non-erythrocytic 5
9796_0:000017	9796_0	TM9SF1			100051449	transmembrane 9 superfamily member 1
9796_0:000018	9796_0	NOP10	F6PRC7		100630310	H/ACA ribonucleoprotein complex subunit-like protein
9796_0:000019	9796_0	HOMEZ			100055733	homeobox and leucine zipper protein Homez isoform X2
9796_0:00001a	9796_0	LOC100058866			100058866	T-cell receptor alpha chain V region PY14
9796_0:00001b	9796_0	A5YBM0_HORSE	A5YBM0		100054028	CA12
9796_0:00001c	9796_0	CFL2			100050494	cofilin-2 isoform X1
9796_0:00001d	9796_0	ISL2	F6X948		100050804	ISL LIM homeobox 2
9796_0:00001e	9796_0	C1H14orf119	F6ZYE9		100055817	Chromosome 1 C14orf119 homolog
9796_0:00001f	9796_0	SEMA4B			100069054	semaphorin-4B
9796_0:000020	9796_0	CFAP70			100063877	cilia- and flagella-associated protein 70 isoform X1
9796_0:000021	9796_0	HEXA	F6T7J1		100063584	Beta-hexosaminidase
9796_0:000022	9796_0	ACAN			100033876	aggrecan core protein isoform X4
9796_0:000023	9796_0	TINF2	F6ZRV3		100054625	TERF1 interacting nuclear factor 2
9796_0:000024	9796_0	LMAN1L			100062212	protein ERGIC-53-like isoform X1
9796_0:000025	9796_0	LRRC57			100056674	leucine-rich repeat-containing protein 57
9796_0:000026	9796_0	OPN4			100052462	melanopsin isoform X1
9796_0:000027	9796_0	JAKMIP3			100051599	janus kinase and microtubule-interacting protein 3 isoform X1
9796_0:000028	9796_0	HTR7			100009688	5-hydroxytryptamine receptor 7 isoform X1
9796_0:000029	9796_0	FAM241B	F6RZ94		100063315	Family with sequence similarity 241 member B
9796_0:00002a	9796_0	ZNF488			100063727	zinc finger protein 488
9796_0:00002b	9796_0	LYSMD2			100629473	lysM and putative peptidoglycan-binding domain-containing protein 2 isoform X1
9796_0:00002c	9796_0	MIS18BP1			100063818	mis18-binding protein 1 isoform X1
9796_0:00002d	9796_0	PIGB			100069185	GPI mannosyltransferase 3 isoform X1
9796_0:00002e	9796_0	SCAMP5			100061807	secretory carrier-associated membrane protein 5
9796_0:00002f	9796_0	PAX9			100059305	paired box protein Pax-9 isoform X1
9796_0:000030	9796_0	ADIRF			100630294	adipogenesis regulatory factor
9796_0:000031	9796_0	CHST3	F6WF01		100063554	Sulfotransferase
9796_0:000032	9796_0	FBXL15			100069952	F-box/LRR-repeat protein 15 isoform X1
9796_0:000033	9796_0	MIPOL1			100059602	mirror-image polydactyly gene 1 protein isoform X1
9796_0:000034	9796_0	LOC100058174			100058174	olfactory receptor 11H1-like
9796_0:000035	9796_0	RABGGTA			100051161	geranylgeranyl transferase type-2 subunit alpha
9796_0:000036	9796_0	FANK1			100056240	fibronectin type 3 and ankyrin repeat domains protein 1 isoform X1
9796_0:000037	9796_0	FAM169B			100055402	protein FAM169B isoform X1
9796_0:000038	9796_0	PDCD11	F6U429		100034019	PDCD11
9796_0:000039	9796_0	CGNL1			111767596	cingulin-like protein 1
9796_0:00003a	9796_0	NSMCE4A			100064829	non-structural maintenance of chromosomes element 4 homolog A
9796_0:00003b	9796_0	TEX36	F7CEA2		100629975	Testis expressed 36
9796_0:00003c	9796_0	NEO1			100063194	neogenin isoform X1
9796_0:00003d	9796_0	VCL	F6ZSZ5		100064165	Vinculin
9796_0:00003e	9796_0	MEIS2	F6X2C6		100057556	Meis homeobox 2
9796_0:00003f	9796_0	THTPA	F7DU01		100052214	Thiamine-triphosphatase
9796_0:000040	9796_0	MARCH8			100062110	E3 ubiquitin-protein ligase MARCH8 isoform X1
9796_0:000041	9796_0	DUOX2			100070566	dual oxidase 2
9796_0:000042	9796_0	A5YBM1_HORSE	A5YBM1		100066854	SNX22
9796_0:000043	9796_0	PLEKHO2			100066626	pleckstrin homology domain-containing family O member 2
9796_0:000044	9796_0	LOC111767506			111767506	mortality factor 4-like protein 1 isoform X1
9796_0:000045	9796_0	FXYD4			100629797	FXYD domain-containing ion transport regulator 4
9796_0:000046	9796_0	EFL1			100052899	elongation factor-like GTPase 1 isoform X1
9796_0:000047	9796_0	RNASE13			111768464	probable inactive ribonuclease-like protein 13
9796_0:000048	9796_0	LOC100072158			100072158	olfactory receptor 4F3/4F16/4F29-like
9796_0:000049	9796_0	LOC100072112			100072112	olfactory receptor 4F21-like
9796_0:00004a	9796_0	HEATR1	F6YAK1		100050411	HEAT repeat containing 1
9796_0:00004b	9796_0	HDGFL3			100068061	hepatoma-derived growth factor-related protein 3
9796_0:00004c	9796_0	TM9SF3			100070803	transmembrane 9 superfamily member 3
9796_0:00004d	9796_0	MXI1			100059411	max-interacting protein 1 isoform X1
9796_0:00004e	9796_0	FAM89A			106782194	protein FAM89A
9796_0:00004f	9796_0	CDH23			100146534	cadherin-23 isoform X1
9796_0:000050	9796_0	TMEM253			100630681	transmembrane protein 253
9796_0:000051	9796_0	LOC102147590			102147590	ubiquitin-like protein 7 isoform X1
9796_0:000052	9796_0	LRRC27			100146618	leucine-rich repeat-containing protein 27 isoform X1
9796_0:000053	9796_0	NRG4			100630158	pro-neuregulin-4, membrane-bound isoform isoform X1
9796_0:000054	9796_0	ADRA2A			100147119	alpha-2A adrenergic receptor
9796_0:000055	9796_0	PSMB5			100052570	proteasome subunit beta type-5
9796_0:000056	9796_0	LOC100072271			100072271	olfactory receptor 11G2-like
9796_0:000057	9796_0	MEX3B	F7BD11		100052950	Mex-3 RNA binding family member B
9796_0:000058	9796_0	ZNF770	F6T2A5		100071735	Zinc finger protein 770
9796_0:000059	9796_0	LOC111773378			111773378	uncharacterized protein LOC111773378
9796_0:00005a	9796_0	KIF11	F7DF61		100061868	Kinesin family member 11
9796_0:00005b	9796_0	WDR72			100069384	WD repeat-containing protein 72 isoform X1
9796_0:00005c	9796_0	LOC100061899			100061899	olfactory receptor 6C74-like
9796_0:00005d	9796_0	UNC5B			100072764	netrin receptor UNC5B isoform X1
9796_0:00005e	9796_0	DAD1	F7CYW3		100053042	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
9796_0:00005f	9796_0	ANG	Q5VI84		106780845	Angiogenin
9796_0:000060	9796_0	LOC111775020			111775020	uncharacterized protein LOC111775020
9796_0:000061	9796_0	LOC100072368	F6W6S8		100072368	Olfactory receptor
9796_0:000062	9796_0	ACTA1	F7CZ92		100065454	Actin, alpha skeletal muscle
9796_0:000063	9796_0	LOC100054719	F7AA29		100054719	NEDD8-MDP1 readthrough
9796_0:000064	9796_0	FRMPD2			106782080	FERM and PDZ domain-containing protein 2 isoform X1
9796_0:000065	9796_0	IQCH			100065763	IQ domain-containing protein H isoform X2
9796_0:000066	9796_0	NRAP	F6Y1B3		100059106	Nebulin related anchoring protein
9796_0:000067	9796_0	NUDT13	F6UWV9		100063793	Nudix hydrolase 13
9796_0:000068	9796_0	ADD3	F7CCE0		100059447	Adducin 3
9796_0:000069	9796_0	ETFA			100060833	electron transfer flavoprotein subunit alpha, mitochondrial
9796_0:00006a	9796_0	TOX4			100059448	TOX high mobility group box family member 4 isoform X1
9796_0:00006b	9796_0	LOC111773990			111773990	uncharacterized protein LOC111773990
9796_0:00006c	9796_0	KLHDC1			100065812	kelch domain-containing protein 1 isoform X1
9796_0:00006d	9796_0	LOC100629943			100629943	cortexin-2
9796_0:00006e	9796_0	MMP14			100034170	matrix metalloproteinase-14
9796_0:00006f	9796_0	LOC100055175			100055175	dehydrogenase/reductase SDR family member 2, mitochondrial-like
9796_0:000070	9796_0	LOC100071966	F6XGC9		100071966	Olfactory receptor
9796_0:000071	9796_0	GDF2	F6RLP6		100051984	Growth differentiation factor 2
9796_0:000072	9796_0	CAMK2G	F6TEC0		100064138	Calcium/calmodulin dependent protein kinase II gamma
9796_0:000073	9796_0	SORCS1			100069383	VPS10 domain-containing receptor SorCS1 isoform X1
9796_0:000074	9796_0	FAM219B			100062043	protein FAM219B isoform X1
9796_0:000075	9796_0	TSSK4	F6T3X1		100051378	Testis specific serine kinase 4
9796_0:000076	9796_0	DUSP5			100068966	dual specificity protein phosphatase 5
9796_0:000077	9796_0	LOC100072469			100072469	olfactory receptor 4K2-like
9796_0:000078	9796_0	GPAM			100068677	glycerol-3-phosphate acyltransferase 1, mitochondrial isoform X1
9796_0:000079	9796_0	NMB	F7E042		100053292	Neuromedin B
9796_0:00007a	9796_0	AQR			100057637	intron-binding protein aquarius
9796_0:00007b	9796_0	PARP16			100053293	mono 
9796_0:00007c	9796_0	ATRNL1			100058912	attractin-like protein 1 isoform X1
9796_0:00007d	9796_0	ADAMTS14			100063487	A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X1
9796_0:00007e	9796_0	PARG	F6WHZ6		100051461	Poly(ADP-ribose) glycohydrolase
9796_0:00007f	9796_0	LOC100072330	F7E0T4		100072330	Olfactory receptor
9796_0:000080	9796_0	OR4Q3			100072040	olfactory receptor 4Q3
9796_0:000081	9796_0	JPH4			100146374	junctophilin-4 isoform X1
9796_0:000082	9796_0	LOC100072546			100072546	olfactory receptor 11H6
